country,code,continent,gdp,life_expectancy,population
Aruba,ABW,North America,2700558659.21788,75.867,105264
Afghanistan,AFG,Asia,19543976895.4248,63.673,35530081
Angola,AGO,Africa,122123822333.73,61.547,29784193
Albania,ALB,Europe,13038538300.2644,78.345,2873457
United Arab Emirates,ARE,Asia,382575085091.899,77.256,9400145
Argentina,ARG,South America,637430331479.469,76.577,44271041
Armenia,ARM,Europe,11536590635.8268,74.618,2930450
Antigua and Barbuda,ATG,North America,1510084750.74074,76.364,102012
Australia,AUS,Oceania,1323421072479.07,82.5,24598933
Austria,AUT,Europe,416595666396.636,80.890243902439,8809212
Azerbaijan,AZE,Europe,40747792237.9735,72.026,9862429
Burundi,BDI,Africa,3172416146.3921,57.481,10864245
Belgium,BEL,Europe,492681283049.248,80.9926829268293,11372068
Benin,BEN,Africa,9246696923.66155,60.907,11175692
Burkina Faso,BFA,Africa,12322864244.9183,60.361,19193382
Bangladesh,BGD,Asia,249723862487.361,72.489,164669751
Bulgaria,BGR,Europe,58220973782.7715,74.6146341463415,7075991
Bahrain,BHR,Asia,35307127659.5745,76.9,1492584
"Bahamas, The",BHS,North America,12162100000,75.675,395361
Bosnia and Herzegovina,BIH,Europe,18054854788.5214,76.911,3507017
Belarus,BLR,Europe,54456465472.6162,73.8268292682927,9507875
Belize,BLZ,North America,1862614800,70.384,374681
Bolivia,BOL,South America,37508642112.8799,69.125,11051600
Brazil,BRA,South America,2055505502224.73,75.509,209288278
Barbados,BRB,North America,4673500000,75.906,285719
Brunei Darussalam,BRN,Asia,12128089001.5858,77.203,428697
Bhutan,BTN,Asia,2528007911.35353,70.197,807610
Botswana,BWA,Africa,17406565823.2986,66.797,2291661
Central African Republic,CAF,Africa,1949411659.20453,52.171,4659080
Canada,CAN,North America,1653042795255.04,82.300512195122,36708083
Switzerland,CHE,Europe,678887336848.252,82.8975609756098,8466017
Chile,CHL,South America,277075944401.941,79.522,18054726
China,CHN,Asia,12237700479375,76.252,1386395000
Cote d'Ivoire,CIV,Africa,37353276059.2518,53.582,24294750
Cameroon,CMR,Africa,34922782310.6416,58.073,24053727
"Congo, Dem. Rep.",COD,Africa,37642482562.3205,59.621,81339988
"Congo, Rep.",COG,Africa,8701334800.21976,64.625,5260750
Colombia,COL,South America,314457601859.523,74.381,49065615
Comoros,COM,Africa,1068124329.86257,63.701,813912
Cabo Verde,CPV,Africa,1772706451.18085,72.798,546388
Costa Rica,CRI,North America,57285984447.7113,79.831,4905769
Cuba,CUB,North America,96851000000,79.742,11484636
Cyprus,CYP,Europe,22054225828.2623,80.508,1179551
Czech Republic,CZE,Europe,215725534372.371,78.3317073170732,10591323
Germany,DEU,Europe,3677439129776.6,80.6414634146341,82695000
Djibouti,DJI,Africa,1844674434.50371,62.465,956985
Denmark,DNK,Europe,324871968807.469,80.7048780487805,5769603
Dominican Republic,DOM,North America,75931656814.657,73.861,10766998
Algeria,DZA,Africa,167555280113.181,76.078,41318142
Ecuador,ECU,South America,104295862000,76.327,16624858
"Egypt, Arab Rep.",EGY,Africa,235369129337.711,71.484,97553151
Spain,ESP,Europe,1311320015515.99,82.8317073170732,46572028
Estonia,EST,Europe,25921079612.3337,77.7365853658537,1315480
Ethiopia,ETH,Africa,80561496133.9172,65.475,104957438
Finland,FIN,Europe,251884887972.766,81.7804878048781,5511303
Fiji,FJI,Oceania,5061202767.42948,70.269,905502
France,FRA,Europe,2582501307216.42,82.2731707317073,67118648
"Micronesia, Fed. Sts.",FSM,Oceania,336427500,69.195,105544
Gabon,GAB,Africa,15013950984.084,66.105,2025137
United Kingdom,GBR,Europe,2622433959604.16,80.9560975609756,66022273
Georgia,GEO,Europe,15081338092.2875,73.261,3717100
Ghana,GHA,Africa,58996776237.7603,62.742,28833629
Guinea,GIN,Africa,10472514514.62,60.015,12717176
"Gambia, The",GMB,Africa,1489464787.57415,61.193,2100568
Guinea-Bissau,GNB,Africa,1346841897.00437,57.403,1861283
Equatorial Guinea,GNQ,Africa,12293579173.2134,57.681,1267689
Greece,GRC,Europe,200288277129.038,81.0365853658537,10760421
Grenada,GRD,North America,1126882296.2963,73.659,107825
Guatemala,GTM,North America,75620095537.5005,73.409,16913503
Guam,GUM,Oceania,5859000000,79.575,164229
Guyana,GUY,South America,3621046004.84262,66.65,777859
"Hong Kong SAR, China",HKG,Asia,341449340450.649,84.2268292682927,7391700
Honduras,HND,North America,22978532896.7816,73.575,9265067
Croatia,HRV,Europe,55213087270.6341,78.0219512195122,4125700
Haiti,HTI,North America,8408150517.97684,63.33,10981229
Hungary,HUN,Europe,139135029758.29,75.5682926829269,9781127
Indonesia,IDN,Asia,1015539017536.5,69.191,263991379
India,IND,Asia,2600818243559.65,68.56,1339180127
Ireland,IRL,Europe,333730764773.18,81.6073170731707,4813608
"Iran, Islamic Rep.",IRN,Asia,454012768723.589,75.953,81162788
Iraq,IRQ,Asia,192060810810.811,69.862,38274618
Iceland,ISL,Europe,23909289978.5861,82.4682926829268,341284
Israel,ISR,Asia,350850537827.281,82.4073170731707,8712400
Italy,ITA,Europe,1934797937411.33,82.5439024390244,60551416
Jamaica,JAM,North America,14781107821.7513,75.97,2890299
Jordan,JOR,Asia,40068308450.7042,74.329,9702353
Japan,JPN,Asia,4872136945507.59,83.9848780487805,126785797
Kazakhstan,KAZ,Europe,162886867831.694,72.3,18037646
Kenya,KEN,Africa,79263075749.2682,67.032,49699862
Kyrgyz Republic,KGZ,Asia,7564738836.04122,70.9512195121951,6201500
Cambodia,KHM,Asia,22158209502.6391,68.981,16005373
Kiribati,KIR,Oceania,185572501.532802,66.317,116398
"Korea, Rep.",KOR,Asia,1530750923148.7,82.0243902439024,51466201
Kuwait,KWT,Asia,120126277612.925,74.694,4136528
Lao PDR,LAO,Asia,16853087485.4118,66.683,6858160
Lebanon,LBN,Asia,53576985686.6998,79.584,6082357
Liberia,LBR,Africa,3285455000,62.505,4731906
Libya,LBY,Africa,38107728082.5817,71.934,6374616
St. Lucia,LCA,North America,1737504296.2963,75.496,178844
Sri Lanka,LKA,Asia,87357205923.1238,75.284,21444000
Lesotho,LSO,Africa,2578265358.30386,54.174,2233339
Lithuania,LTU,Europe,47168303744.1329,74.3219512195122,2827721
Luxembourg,LUX,Europe,62404461274.6636,82.2926829268293,599449
Latvia,LVA,Europe,30264454641.8004,74.5292682926829,1940740
"Macao SAR, China",MAC,Asia,50361201096.4366,83.849,622567
Morocco,MAR,Africa,109708728848.535,75.821,35739580
Moldova,MDA,Europe,8128493432.07741,71.61,3549750
Madagascar,MDG,Africa,11499803806.5729,65.932,25570895
Maldives,MDV,Asia,4865546027.0157,77.339,436330
Mexico,MEX,North America,1150887823404.18,77.118,129163276
"Macedonia, FYR",MKD,Europe,11279509013.9119,75.703,2083160
Mali,MLI,Africa,15334336143.644,57.966,18541980
Malta,MLT,Europe,12518134319.0893,81.7975609756098,465292
Myanmar,MMR,Asia,67068745521.3823,66.612,53370609
Montenegro,MNE,Europe,4844592066.71174,77.116,622471
Mongolia,MNG,Asia,11433635875.9316,69.287,3075647
Mozambique,MOZ,Africa,12645508633.7664,58.311,29668834
Mauritania,MRT,Africa,5024708655.99147,63.238,4420184
Mauritius,MUS,Africa,13266427697.2513,74.3948780487805,1264613
Malawi,MWI,Africa,6303292264.18905,63.223,18622104
Malaysia,MYS,Asia,314710259510.743,75.3,31624264
Namibia,NAM,Africa,13253698014.7075,64.388,2533794
Niger,NER,Africa,8119710126.3489,60.058,21477348
Nigeria,NGA,Africa,375745486520.656,53.428,190886311
Nicaragua,NIC,North America,13814261535.5434,75.404,6217581
Netherlands,NLD,Europe,826200282501.127,81.509756097561,17132854
Norway,NOR,Europe,398831956477.937,82.509756097561,5282223
Nepal,NPL,Asia,24880266905.4961,70.253,29304998
New Zealand,NZL,Oceania,205852838254.712,81.6124390243903,4793900
Oman,OMN,Asia,72642652795.8387,77.029,4636262
Pakistan,PAK,Asia,304951818494.066,66.481,197015955
Panama,PAN,North America,62283756584.4322,78.001,4098587
Peru,PER,South America,211389272242.157,74.983,32165485
Philippines,PHL,Asia,313595208736.66,69.094,104918090
Papua New Guinea,PNG,Oceania,20536314601.1039,65.544,8251162
Poland,POL,Europe,526465839002.568,77.4512195121951,37975841
Portugal,PRT,Europe,217571083045.99,81.1268292682927,10293718
Paraguay,PRY,South America,39667400816.2126,73.12,6811297
West Bank and Gaza,PSE,Asia,14498100000,73.473,4684777
Qatar,QAT,Asia,166928571428.571,78.184,2639211
Romania,ROU,Europe,211883923504.01,75.0121951219512,19586539
Russian Federation,RUS,Europe,1577524145962.85,71.5929268292683,144495044
Rwanda,RWA,Africa,9135454442.14013,67.129,12208407
Saudi Arabia,SAU,Asia,686738400000,74.561,32938213
Sudan,SDN,Africa,117487857142.857,64.486,40533330
Senegal,SEN,Africa,21070225734.7861,67.146,15850567
Singapore,SGP,Asia,323907234412.34,82.7951219512195,5612253
Solomon Islands,SLB,Oceania,1303453622.23293,70.726,611343
Sierra Leone,SLE,Africa,3775047333.92116,51.835,7557212
El Salvador,SLV,North America,24805439600,73.512,6377853
Somalia,SOM,Africa,7052000000,56.293,14742523
Serbia,SRB,Europe,41431648801.1663,75.2390243902439,7022268
Sao Tome and Principe,STP,Africa,392570292.501299,66.624,204327
Suriname,SUR,South America,2995827900.91265,71.405,563402
Slovak Republic,SVK,Europe,95769031980.1362,76.5634146341463,5439892
Slovenia,SVN,Europe,48769655479.2388,80.7756097560976,2066748
Sweden,SWE,Europe,538040458216.997,82.2048780487805,10067744
Eswatini,SWZ,Africa,4433664364.24725,57.754,1367254
Seychelles,SYC,Africa,1497959568.97249,74.309756097561,95843
Chad,TCD,Africa,9871247731.89787,52.903,14899994
Togo,TGO,Africa,4757776485.12802,60.232,7797694
Thailand,THA,Asia,455302682985.757,75.303,69037513
Tajikistan,TJK,Asia,7146449583.02631,71.051,8921343
Turkmenistan,TKM,Asia,37926285714.2857,67.835,5758075
Timor-Leste,TLS,Asia,2954620999.58441,68.881,1296311
Tonga,TON,Oceania,427659795.301271,73.029,108020
Trinidad and Tobago,TTO,North America,22079017626.6686,70.673,1369125
Tunisia,TUN,Africa,39952095560.8829,75.731,11532127
Turkey,TUR,Europe,851549299635.427,75.755,80745020
Tanzania,TZA,Africa,52090321003.0556,65.675,57310019
Uganda,UGA,Africa,25995031850.1658,59.889,42862958
Ukraine,UKR,Europe,112154185121.406,71.4763414634146,44831159
Uruguay,URY,South America,56156972157.6958,77.493,3456750
United States,USA,North America,19390604000000,78.690243902439,325719178
Uzbekistan,UZB,Asia,49677172714.26,71.314,32387200
St. Vincent and the Grenadines,VCT,North America,785222509.144563,73.179,109897
Vietnam,VNM,Asia,223779865815.183,76.253,95540800
Vanuatu,VUT,Oceania,862879789.027549,72.133,276244
Samoa,WSM,Oceania,840927996.555194,75.013,196440
"Yemen, Rep.",YEM,Asia,31267675216.25,64.953,28250420
South Africa,ZAF,Africa,348871647959.64,62.774,56717156
Zambia,ZMB,Africa,25868142073.452,61.874,17094130
Zimbabwe,ZWE,Africa,22040902300,61.163,16529904
